"","t","s","mid","pmt","pg","subtype","hr","bank"
"40",4,0,"fanfight","CARD","RAZORPAY","notprovided","2020-02-14 15","COMMUNITYBANK"
"41",1,1,"countrydelight","CARD","PAYU","notprovided","2020-02-14 14","MATTELF.C.U."
"42",3,1,"zivame","CARD","HDFC","notprovided","2020-02-14 12","COMMUNITYBANK"
"43",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 04","NB_INDUS"
"44",5,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 07","NB_UCOB"
"45",3,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 07","NB_IOB"
"46",4,0,"zivame","NB","PAYU","notprovided","2020-02-14 08","NB_UCOB"
"47",4,4,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 07","IDFC Bank"
"48",5,3,"pharmeasytech","WALLET","AIRTELMONEY","REDIRECT_WALLET_DEBIT","2020-02-14 06","AIRTELMONEY"
"49",1,0,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 04","COMMUNITYBANK"
"50",2,0,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 06","NKGSB COOP BANK LTD"
"51",1,1,"zivame","CARD","HDFC","notprovided","2020-02-14 10","BCCARDCO..LTD."
"52",3,2,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 11","SARVA HARYANA GRAMIN BANK"
"53",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 12","RAJKOT NAGARIK SAHAKARI BANK LTD"
"54",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 08","South Indian Bank"
"55",1,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 04","DCB"
"56",3,0,"pharmeasytech","CARD","notprovided","notprovided","2020-02-14 04","Zeta"
"57",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 07","NB_ANDHRA"
"58",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 09","NB_CORP"
"59",1,1,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 10","Saraswat Bank"
"60",5,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 04","IDFC Bank"
"61",1,1,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 06","CREDITLIBANAISS.A.L."
"62",1,1,"countrydelight","NB","PAYU","notprovided","2020-02-14 12","NB_INDB"
"63",2,2,"pharmeasytech","WALLET","AIRTELMONEY","REDIRECT_WALLET_DEBIT","2020-02-14 01","AIRTELMONEY"
"64",1,0,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 01","IDFC Bank"
"65",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 05","NB_BOBCORP"
"66",1,1,"zivame","CARD","HDFC","notprovided","2020-02-14 05","Punjab and Sind Bank"
"67",1,0,"zivame","NB","PAYU","notprovided","2020-02-14 07","NB_ANDHRA"
"68",3,1,"zivame","CARD","PAYU","notprovided","2020-02-14 09","The Catholic Syrian Bank"
"69",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 09","NB_OBC"
"70",1,1,"fanfight","CARD","RAZORPAY","notprovided","2020-02-14 04","Tamilnad Mercantile Bank"
"71",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 14","NB_FED"
"72",1,1,"zivame","CARD","HDFC","notprovided","2020-02-14 13","Karur Vysya Bank"
"73",2,2,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 17","Punjab and Sind Bank"
"74",1,0,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 16","BARODA UTTAR PRADESH GRAMIN BANK"
"75",3,1,"countrydelight","NB","PAYU","notprovided","2020-02-14 17","NB_DEUT"
"76",2,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","ASSAM COOPERATIVE APEX BANK LTD"
"77",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","THE SURAT PEOPLES COOPERATIVE BANK LTD"
"78",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 15","NB_IOB"
"79",1,0,"drivezy","WALLET","RAZORPAY","REDIRECT_WALLET_DEBIT","2020-02-14 13","PAYZAPP"
"80",1,1,"zivame","NB","PAYU","notprovided","2020-02-14 13","NB_AIRTEL"
"81",1,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 13","South Indian Bank"
"82",1,1,"urbanclap","NB","PAYU","notprovided","2020-02-14 12","NB_AIRTEL"
"83",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 14","NB_CORP"
"84",2,0,"drivezy","WALLET","RAZORPAY","REDIRECT_WALLET_DEBIT","2020-02-14 18","PAYZAPP"
"85",5,2,"countrydelight","NB","PAYU","notprovided","2020-02-12 06","NB_AIRTEL"
"86",3,0,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-12 13","IDFC Bank"
"87",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 00","NB_SOIB"
"88",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 09","NB_ALLB"
"89",3,1,"urbanclap","NB","PAYTM","notprovided","2020-02-12 09","NB_IDFC"
"90",2,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-12 09","NB_VJYB"
"91",1,1,"countrydelight","CARD","PAYU","notprovided","2020-02-12 06","Abhyudaya Cooperative Bank"
"92",1,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-12 12","MONEYACCESSSERVICE.INC."
"93",1,0,"drivezy","WALLET","RAZORPAY","REDIRECT_WALLET_DEBIT","2020-02-12 07","JIOMONEY"
"94",1,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-12 05","Kotak Bank"
"95",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 07","NB_CORP"
"96",3,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-12 02","Kotak Bank"
"97",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-12 06","NB_ALLB"
"98",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-12 05","NB_CSB"
"99",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 11","NB_IOB"
"100",2,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-12 07","City Union Bank"
"101",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-12 06","NB_ANDHRA"
"102",1,0,"medlife_prod","CARD","TPSL","notprovided","2020-02-12 03","The Shamrao Vithal Cooperative Bank"
"103",1,1,"countrydelight","NB","PAYU","notprovided","2020-02-12 05","NB_IDFC"
"104",3,0,"drivezy","CONSUMER_FINANCE","EPAYLATER","notprovided","2020-02-12 11","EPAYLATER"
"105",2,1,"fanfight","CARD","RAZORPAY","notprovided","2020-02-12 02","Karur Vysya Bank"
"106",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-12 18","NB_AIRTEL"
"107",2,1,"fanfight","CARD","RAZORPAY","notprovided","2020-02-12 14","Punjab and Sind Bank"
"108",8,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 13","NB_CBI"
"109",1,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-12 14","South Indian Bank"
"110",4,1,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 14","NB_SYNB"
"111",2,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-12 16","Kotak Bank"
"112",7,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 15","NB_PNBCORP"
"113",3,2,"pharmeasytech","CARD","PAYU","notprovided","2020-02-12 13","IDFC Bank"
"114",4,4,"fanfight","CARD","RAZORPAY","notprovided","2020-02-12 15","Mudra Bank"
"115",2,0,"zivame","CARD","HDFC","notprovided","2020-02-14 05","Mudra Bank"
"116",2,2,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 04","South Indian Bank"
"117",2,0,"drivezy","CONSUMER_FINANCE","EPAYLATER","notprovided","2020-02-14 10","EPAYLATER"
"118",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-14 03","NB_ALLB"
"119",2,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 06","NB_IOB"
"120",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 11","NB_VJYB"
"121",3,1,"zivame","CARD","PAYU","notprovided","2020-02-14 06","Abhyudaya Cooperative Bank"
"122",1,1,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 12","South Indian Bank"
"123",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 06","South Indian Bank"
"124",4,2,"pharmeasytech","WALLET","AIRTELMONEY","REDIRECT_WALLET_DEBIT","2020-02-14 08","AIRTELMONEY"
"125",2,2,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 09","Saraswat Bank"
"126",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 12","The Bharat Cooperative Bank"
"127",1,0,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 10","Tamilnad Mercantile Bank"
"128",1,1,"fanfight","CARD","RAZORPAY","notprovided","2020-02-14 11","SOUTHCAROLINAF.C.U."
"129",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 06","NB_PNJSB"
"130",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 03","DCB"
"131",2,0,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 03","BCCARDCO..LTD."
"132",1,0,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 04","BANCAMORA.S.A."
"133",1,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 05","Mudra Bank"
"134",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 12","NB_SBM"
"135",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 09","Barclays Bank"
"136",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 10","NB_JSB"
"137",1,1,"zivame","NB","PAYU","notprovided","2020-02-14 01","NB_VJYB"
"138",4,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 09","NB_SYNB"
"139",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 08","NB_ANDHRA"
"140",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 20","NB_SOIB"
"141",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 06","NB_DCB"
"142",1,0,"pharmeasytech","NB","PAYTM","notprovided","2020-02-14 16","NB_IOB"
"143",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 16","NB_OBC"
"144",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 17","NB_SCB"
"145",1,1,"zivame","CARD","HDFC","notprovided","2020-02-14 14","Tamilnad Mercantile Bank"
"146",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 14","Bandhan Bank"
"147",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 13","BARODA UTTAR PRADESH GRAMIN BANK"
"148",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","Bandhan Bank"
"149",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","J AND K GRAMEEN BANK"
"150",1,1,"pharmeasytech","NB","RAZORPAY","notprovided","2020-02-14 15","NB_ALLB"
"151",2,2,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 17","Karur Vysya Bank"
"152",3,0,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR"
"153",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 10","NB_VJYB"
"154",1,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 11","Deutsche Bank"
"155",1,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 13","SOUTHCAROLINAF.C.U."
"156",2,1,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 12","City Union Bank"
"157",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 01","NB_UNIB"
"158",1,1,"zivame","NB","PAYU","notprovided","2020-02-14 11","NB_CITI"
"159",3,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 07","NB_DEUT"
"160",1,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 06","Lakshmi Vilas Bank"
"161",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 09","NB_OBC"
"162",2,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 10","NB_KARN"
"163",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 05","NB_SCB"
"164",4,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 00","NB_CUB"
"165",1,0,"purplle.com","CONSUMER_FINANCE","PAYU","notprovided","2020-02-14 13","ZESTMONEY"
"166",2,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 06","NB_SOIB"
"167",2,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 08","NB_INDUS"
"168",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 12","GP Parsik Bank"
"169",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 03","NB_CORP"
"170",2,2,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 07","South Indian Bank"
"171",1,0,"drivezy","WALLET","RAZORPAY","REDIRECT_WALLET_DEBIT","2020-02-14 03","PAYZAPP"
"172",1,0,"urbanclap","NB","PAYU","notprovided","2020-02-14 05","NB_PNBCORP"
"173",1,0,"fanfight","CARD","RAZORPAY","notprovided","2020-02-14 14","COMMUNITYBANK"
"174",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 04","NB_CORP"
"175",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 15","NB_BOM"
"176",1,0,"drivezy","CONSUMER_FINANCE","EPAYLATER","notprovided","2020-02-14 16","EPAYLATER"
"177",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 16","Bandhan Bank"
"178",4,4,"fanfight","NB","PAYTM","notprovided","2020-02-14 15","NB_IDFC"
"179",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 14","NB_INDB"
"180",1,0,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 16","THE DISTRICT CO OP BANK LTD DEHRADUN"
"181",2,0,"zivame","NB","PAYU","notprovided","2020-02-14 19","NB_KVB"
"182",1,0,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 20","South Indian Bank"
"183",3,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","SHIVAJI NAGARI SAHAKARI BANK LTD"
"184",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 15","NB_OBC"
"185",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 15","NB_PNJSB"
"186",1,1,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 14","CHHATTISGARH RAJYA GRAMIN BANK"
"187",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 17","NB_PNBCORP"
"188",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 02","NB_BOM"
"189",1,1,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 11","BCCARDCO..LTD."
"190",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 04","NB_SARASB"
"191",1,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 05","Deutsche Bank"
"192",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 05","NB_OBC"
"193",1,0,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 05","Chase Bank"
"194",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 09","NB_JNK"
"195",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 06","THE BAGHAT URBAN COOP BANK LTD"
"196",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-14 05","NB_SYNB"
"197",1,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 09","South Indian Bank"
"198",2,2,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 07","UTTARAKHAND GRAMIN BANK"
"199",1,1,"zivame","CARD","PAYU","notprovided","2020-02-14 11","ODISHA GRAMYA BANK"
"200",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 08","Bassein Catholic Bank"
"201",1,1,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 11","South Indian Bank"
"202",3,0,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 08","THE KARNATAKA STATE COOPERATIVE APEX BANK LTD AS I"
"203",1,0,"countrydelight","CARD","PAYU","notprovided","2020-02-14 06","SOUTHCAROLINAF.C.U."
"204",2,1,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 20","Mudra Bank"
"205",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 16","NB_UCOB"
"206",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","United Bank of India"
"207",2,2,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-14 15","Karur Vysya Bank"
"208",1,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 18","Karur Vysya Bank"
"209",1,0,"countrydelight","NB","PAYTM","notprovided","2020-02-14 13","NB_DBS"
"210",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 19","Saraswat Bank"
"211",1,0,"zivame","CARD","HDFC","notprovided","2020-02-14 14","Karur Vysya Bank"
"212",2,1,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 15","THE PALAKKAD DISTRICT COOPERATIVE BANK LTD"
"213",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 18","NB_FED"
"214",1,0,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 18","ADCB"
"215",1,0,"drivezy","WALLET","RAZORPAY","REDIRECT_WALLET_DEBIT","2020-02-14 14","PAYZAPP"
"216",1,1,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 01","NB_ANDHRA"
"217",2,0,"countrydelight","NB","PAYU","notprovided","2020-02-13 00","NB_AIRTEL"
"218",1,1,"pharmeasytech","NB","RAZORPAY","notprovided","2020-02-13 12","NB_ALLB"
"219",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-13 04","NB_UNIB"
"220",1,1,"countrydelight","CARD","PAYU","notprovided","2020-02-13 00","THANE JANATA SAHAKARI BANK LTD"
"221",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-13 08","IDFC Bank"
"222",1,1,"zivame","CARD","PAYU","notprovided","2020-02-13 13","THE NAINITAL BANK LTD"
"223",3,3,"pharmeasytech","CARD","PAYU","notprovided","2020-02-13 04","Abhyudaya Cooperative Bank"
"224",1,1,"zivame","CARD","PAYU","notprovided","2020-02-13 08","Bandhan Bank"
"225",3,0,"purplle.com","WALLET","notprovided","notprovided","2020-02-13 08","UNDEFINED"
"226",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-13 05","NB_INDB"
"227",1,0,"pharmeasytech","CARD","PAYU","notprovided","2020-02-13 09","POCAVALLEYBANK.INC."
"228",2,0,"fanfight","NB","PAYTM","notprovided","2020-02-13 00","NB_IDFC"
"229",1,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-13 01","BCCARDCO..LTD."
"230",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 03","NB_OBC"
"231",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 01","NB_BOBCORP"
"232",2,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-13 10","NB_BOM"
"233",5,1,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-13 05","Kotak Bank"
"234",3,2,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-13 13","SHIVAJI NAGARI SAHAKARI BANK LTD"
"235",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-13 13","THE KODAGU DISTRICT COOP CENTRAL BANK LTD"
"236",1,0,"drivezy","WALLET","RAZORPAY","REDIRECT_WALLET_DEBIT","2020-02-13 05","PAYZAPP"
"237",2,2,"urbanclap","NB","PAYTM","notprovided","2020-02-13 09","NB_INDB"
"238",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 10","NB_DENA"
"239",2,0,"countrydelight","CARD","PAYU","notprovided","2020-02-13 16","MONEYACCESSSERVICE.INC."
"240",2,1,"urbanclap","NB","PAYTM","notprovided","2020-02-13 14","NB_RBL"
"241",2,0,"countrydelight","CARD","PAYU","notprovided","2020-02-13 17","MONEYACCESSSERVICE.INC."
"242",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 16","NB_BOBCORP"
"243",3,2,"purplle.com","CARD","PAYTM","notprovided","2020-02-13 18","Punjab and Sind Bank"
"244",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 15","NB_INDUS"
"245",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 17","NB_UCOB"
"246",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 15","NB_SBP"
"247",1,0,"zivame","NB","PAYU","notprovided","2020-02-13 19","NB_INDB"
"248",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 04","NB_KARN"
"249",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-14 07","NB_IOB"
"250",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 10","NB_SARASB"
"251",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 10","MONEYACCESSSERVICE.INC."
"252",2,2,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 06","SOUTHCAROLINAF.C.U."
"253",1,1,"purplle.com","NB","PAYU","notprovided","2020-02-14 11","NB_INDB"
"254",2,1,"countrydelight","NB","PAYU","notprovided","2020-02-14 05","NB_CITI"
"255",6,3,"medlife_prod","CARD","TPSL","notprovided","2020-02-14 07","South Indian Bank"
"256",1,0,"pharmeasytech","NB","RAZORPAY","notprovided","2020-02-14 07","NB_SCB"
"257",1,1,"pharmeasytech","CARD","PAYU","notprovided","2020-02-14 04","THE GREATER BOMBAY COOP BANK LTD"
"258",1,1,"urbanclap","CARD","PAYTM","notprovided","2020-02-14 04","MONEYACCESSSERVICE.INC."
"259",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 08","NB_ALLB"
"260",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 04","NB_SYNB"
"261",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 06","NB_ANDHRA"
"262",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 15","NB_PNBCORP"
"263",1,1,"zivame","CARD","PAYU","notprovided","2020-02-14 14","Bandhan Bank"
"264",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 16","NB_FED"
"265",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 14","NB_SCB"
"266",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 15","NB_ALLB"
"267",1,1,"purplle.com","CARD","PAYTM","notprovided","2020-02-14 15","South Indian Bank"
"268",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 18","NB_PNJSB"
"269",2,2,"drivezy","CARD","GOCASHFREE","notprovided","2020-02-14 16","THE ADARSH COOP URBAN BANK LTD"
"270",4,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 07","NB_ALLB"
"271",1,1,"fanfight","CARD","GOCASHFREE","notprovided","2020-02-12 02","ANDHRA PRADESH GRAMEENA VIKAS BANK"
"272",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 03","NB_CBI"
"273",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 07","NB_OBC"
"274",2,2,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 06","NB_IOB"
